Subdistrict,Fishery,Sample week,HARVDATE,RED,KING,COHO
Glennallen Subdistrict,Fed GSD Sub,,6/8/2020,1,1,0
Glennallen Subdistrict,Fed GSD Sub,,6/8/2020,16,1,0
Glennallen Subdistrict,Fed GSD Sub,,6/8/2020,6,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/8/2020,2,2,0
Glennallen Subdistrict,Fed GSD Sub,,6/8/2020,5,1,0
Glennallen Subdistrict,Fed GSD Sub,,6/8/2020,20,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/8/2020,40,8,0
Glennallen Subdistrict,STATE SUB,,6/9/2020,76,2,0
Glennallen Subdistrict,STATE SUB,,6/9/2020,1,2,0
Glennallen Subdistrict,STATE SUB,,6/9/2020,1,0,0
Glennallen Subdistrict,STATE SUB,,6/9/2020,3,1,0
Glennallen Subdistrict,STATE SUB,,6/9/2020,35,0,0
Glennallen Subdistrict,STATE SUB,,6/9/2020,1,1,0
Glennallen Subdistrict,STATE SUB,,6/9/2020,8,1,0
Glennallen Subdistrict,STATE SUB,,6/9/2020,3,0,0
Glennallen Subdistrict,STATE SUB,,6/9/2020,24,0,0
Glennallen Subdistrict,STATE SUB,,6/9/2020,7,1,0
Glennallen Subdistrict,STATE SUB,,6/9/2020,20,8,0
Glennallen Subdistrict,STATE SUB,,6/9/2020,27,1,0
Glennallen Subdistrict,STATE SUB,,6/9/2020,50,0,0
Glennallen Subdistrict,STATE SUB,,6/9/2020,2,0,0
Glennallen Subdistrict,STATE SUB,,6/9/2020,2,2,0
Glennallen Subdistrict,STATE SUB,,6/9/2020,5,5,0
Glennallen Subdistrict,STATE SUB,,6/9/2020,0,0,0
Glennallen Subdistrict,STATE SUB,,6/9/2020,33,1,0
Glennallen Subdistrict,STATE SUB,,6/9/2020,5,0,0
Glennallen Subdistrict,STATE SUB,,6/9/2020,100,10,0
Glennallen Subdistrict,STATE SUB,,6/9/2020,25,3,0
Glennallen Subdistrict,Fed GSD Sub,,6/9/2020,6,1,0
Glennallen Subdistrict,Fed GSD Sub,,6/9/2020,3,1,0
Glennallen Subdistrict,Fed GSD Sub,,6/9/2020,27,1,0
Glennallen Subdistrict,Fed GSD Sub,,6/9/2020,5,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/9/2020,11,1,0
Glennallen Subdistrict,Fed GSD Sub,,6/9/2020,2,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/9/2020,25,1,0
Glennallen Subdistrict,Fed GSD Sub,,6/9/2020,47,15,0
Glennallen Subdistrict,Fed GSD Sub,,6/9/2020,14,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/9/2020,12,4,0
Glennallen Subdistrict,Fed GSD Sub,,6/9/2020,36,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/9/2020,15,2,0
Glennallen Subdistrict,STATE SUB,,6/10/2020,2,0,0
Glennallen Subdistrict,STATE SUB,,6/10/2020,4,0,0
Glennallen Subdistrict,STATE SUB,,6/10/2020,20,0,0
Glennallen Subdistrict,STATE SUB,,6/10/2020,44,0,0
Glennallen Subdistrict,STATE SUB,,6/10/2020,3,1,0
Glennallen Subdistrict,STATE SUB,,6/10/2020,14,1,0
Glennallen Subdistrict,STATE SUB,,6/10/2020,45,0,0
Glennallen Subdistrict,STATE SUB,,6/10/2020,14,6,0
Glennallen Subdistrict,STATE SUB,,6/10/2020,43,1,0
Glennallen Subdistrict,STATE SUB,,6/10/2020,28,1,0
Glennallen Subdistrict,STATE SUB,,6/10/2020,5,0,0
Glennallen Subdistrict,STATE SUB,,6/10/2020,51,3,0
Glennallen Subdistrict,STATE SUB,,6/10/2020,2,0,0
Glennallen Subdistrict,STATE SUB,,6/10/2020,1,0,0
Glennallen Subdistrict,STATE SUB,,6/10/2020,41,5,0
Glennallen Subdistrict,STATE SUB,,6/10/2020,30,1,0
Glennallen Subdistrict,STATE SUB,,6/10/2020,110,3,0
Glennallen Subdistrict,STATE SUB,,6/10/2020,11,1,0
Glennallen Subdistrict,STATE SUB,,6/10/2020,4,0,0
Glennallen Subdistrict,STATE SUB,,6/10/2020,10,0,0
