Scale Card Number,Sampler,Sample week,Date,Stat week,Subdistrict,Subarea name,Subarea,Fishery (State/Fed),Gear,Wheel #,Whole Fish (Y/N),ME-Fork length,ME-A.fin length,Fish Number,Sex ,AGE,Tag Number,Adipose Fin Present (Y/N),Notes,
BP006,DeLaune,3,6/20/2020,25,CSD,Below Bridge,BB,S,DN,,Y,615,462,9,M,12,,Y,,
BP006,DeLaune,3,6/20/2020,25,CSD,Below Bridge,BB,S,DN,,Y,743,562,10,F,13,,Y,,
BP007,DeLaune,3,6/20/2020,25,CSD,Below Bridge,BB,S,DN,,Y,660,513,1,M,E3,10564,Y,Yellow tag,
BP007,DeLaune,3,6/20/2020,25,CSD,Below Bridge,BB,S,DN,,Y,585,448,2,M,E6,,Y,,
CS007,Farnham,3,6/20/2020,25,GSD,Bridge to Tonsina,BT,S,FW,71,Y,659,508,1,M,12,,Y,,
BP008,DeLaune,3,6/21/2020,26,CSD,Below Bridge,BB,S,DN,,Y,810,587,1,M,13,,Y,,
BP008,DeLaune,3,6/21/2020,26,CSD,Below Bridge,BB,S,DN,,Y,681,681,2,M,14,,Y,,
BS005,DeLaune,3,6/21/2020,26,GSD,Bridge to Tonsina,BT,S,DN,,Y,810,605,1,F,E3,,Y,,
BS005,DeLaune,3,6/21/2020,26,GSD,Bridge to Tonsina,BT,S,DN,,Y,691,504,2,M,E3,,Y,,
BS005,DeLaune,3,6/21/2020,26,GSD,Bridge to Tonsina,BT,S,DN,,Y,707,535,3,F,E3,10733,Y,Yellow tag,
BS005,DeLaune,3,6/21/2020,26,GSD,Bridge to Tonsina,BT,S,DN,,Y,798,607,4,F,13,,Y,,
BS005,DeLaune,3,6/21/2020,26,GSD,Bridge to Tonsina,BT,S,DN,,Y,686,536,5,F,13,,Y,,
CS008,Farnham,4,6/23/2020,26,GSD,Bridge to Tonsina,BT,S,FW,95,Y,938,762,1,M,E3,,Y,REGENERATED SCALES,
CS008,Farnham,4,6/23/2020,26,GSD,Bridge to Tonsina,BT,S,FW,95,Y,865,543,2,F,13,,Y,REGENERATED SCALES,
CS008,Farnham,4,6/23/2020,26,GSD,Bridge to Tonsina,BT,S,FW,95,Y,835,539,3,F,14,,Y,,
CS008,Farnham,4,6/23/2020,26,GSD,Bridge to Tonsina,BT,S,FW,95,Y,744,489,4,F,13,,Y,,
BS006,DeLaune,4,6/24/2020,26,GSD,Bridge to Tonsina,BT,F,DN,,Y,770,578,1,M,13,9134,Y,,
BS006,DeLaune,4,6/24/2020,26,GSD,Bridge to Tonsina,BT,F,DN,,Y,918,720,2,M,E3,,Y,,
BS006,DeLaune,4,6/24/2020,26,GSD,Bridge to Tonsina,BT,F,DN,,Y,766,590,3,F,13,,Y,,
CS009,Farnham,4,6/24/2020,26,GSD,Bridge to Tonsina,BT,S,FW,75,Y,739,570,1,F,23,,Y,,
CS009,Farnham,4,6/24/2020,26,GSD,Bridge to Tonsina,BT,S,FW,75,Y,742,582,2,F,23,,Y,,
CS009,Farnham,4,6/24/2020,26,GSD,Bridge to Tonsina,BT,S,FW,75,Y,774,208,3,F,E3,,Y,,
CS009,Farnham,4,6/24/2020,26,GSD,Bridge to Tonsina,BT,S,FW,75,Y,848,682,4,M,E3,,Y,,
CS009,Farnham,4,6/24/2020,26,GSD,Bridge to Tonsina,BT,S,FW,75,Y,830,669,5,F,13,,Y,,
CS009,Farnham,4,6/24/2020,26,GSD,Bridge to Tonsina,BT,S,FW,71,Y,789,583,6,F,13,,Y,,
CS009,Farnham,4,6/24/2020,26,GSD,Bridge to Tonsina,BT,S,FW,71,Y,881,674,7,F,E3,9887,Y,NVE YELLOW 09887,
CS009,Farnham,4,6/24/2020,26,GSD,Bridge to Tonsina,BT,S,FW,71,Y,735,530,8,F,E3,,Y,,
CS009,Farnham,4,6/24/2020,26,GSD,Bridge to Tonsina,BT,S,FW,71,Y,845,669,9,F,13,,Y,,
CS009,Farnham,4,6/24/2020,26,GSD,Bridge to Tonsina,BT,S,FW,71,Y,759,577,10,F,13,,Y,,
MS004,Hansen,4,6/24/2020,26,GSD,Bridge to Tonsina,BT,S,DN,,Y,667,512,1,M,13,,Y,,
MS004,Hansen,4,6/24/2020,26,GSD,Bridge to Tonsina,BT,S,DN,,Y,750,574,2,M,E6,,Y,,
MS004,Hansen,4,6/24/2020,26,GSD,Bridge to Tonsina,BT,S,DN,,Y,765,580,3,F,13,,Y,,
MS004,Hansen,4,6/24/2020,26,GSD,Bridge to Tonsina,BT,S,DN,,Y,837,633,4,M,13,,Y,,
MS004,Hansen,4,6/24/2020,26,GSD,Bridge to Tonsina,BT,S,DN,,Y,979,731,5,M,14,,Y,,
MS004,Hansen,4,6/24/2020,26,GSD,Bridge to Tonsina,BT,F,DN,,Y,842,626,6,F,14,,Y,,
MS004,Hansen,4,6/24/2020,26,GSD,Bridge to Tonsina,BT,F,DN,,Y,859,650,7,M,14,,Y,+,
AS006,Mikkelsen,4,6/25/2020,26,GSD,Bridge to Tonsina,BT,F,DN,,N,N/A,N/A,1,M,,,Y,MISSING SCALE CARD,
AS006,Mikkelsen,4,6/25/2020,26,GSD,Bridge to Tonsina,BT,F,DN,,N,N/A,N/A,2,M,,,Y,MISSING SCALE CARD,
