Subdistrict,Fishery,Sample Week,HARVDATE,RED,KING
Glennallen,State SUB,2,6/12/2021,3,0
Glennallen,State SUB,2,6/12/2021,1,0
Glennallen,State SUB,2,6/12/2021,32,2
Glennallen,State SUB,2,6/12/2021,3,1
Glennallen,State SUB,2,6/12/2021,0,0
Glennallen,State SUB,2,6/12/2021,0,2
Glennallen,State SUB,2,6/12/2021,7,1
Glennallen,State SUB,2,6/12/2021,0,0
Glennallen,State SUB,2,6/12/2021,20,3
Glennallen,State SUB,2,6/12/2021,20,0
Glennallen,State SUB,2,6/12/2021,0,0
Glennallen,State SUB,2,6/12/2021,75,0
Glennallen,State SUB,2,6/12/2021,13,2
Glennallen,State SUB,2,6/12/2021,7,0
Glennallen,State SUB,2,6/12/2021,71,0
Glennallen,State SUB,2,6/12/2021,35,5
Glennallen,State SUB,2,6/12/2021,13,2
Glennallen,State SUB,2,6/12/2021,2,0
Glennallen,State SUB,2,6/12/2021,6,1
Glennallen,State SUB,2,6/12/2021,4,0
Glennallen,State SUB,2,6/12/2021,10,0
Glennallen,State SUB,2,6/12/2021,30,0
Glennallen,State SUB,2,6/12/2021,20,2
Glennallen,State SUB,2,6/12/2021,30,0
Glennallen,State SUB,2,6/12/2021,54,0
Glennallen,State SUB,2,6/12/2021,17,1
Glennallen,State SUB,2,6/12/2021,20,0
Glennallen,State SUB,2,6/12/2021,0,0
Glennallen,State SUB,2,6/12/2021,7,0
Glennallen,State SUB,2,6/12/2021,5,2
Glennallen,State SUB,2,6/12/2021,12,3
Glennallen,State SUB,2,6/12/2021,15,3
Glennallen,State SUB,2,6/12/2021,14,2
Glennallen,State SUB,2,6/12/2021,2,0
Glennallen,State SUB,2,6/12/2021,36,1
Glennallen,State SUB,2,6/12/2021,17,1
Glennallen,State SUB,2,6/12/2021,90,2
Glennallen,State SUB,2,6/12/2021,6,0
Glennallen,State SUB,2,6/12/2021,15,0
Glennallen,State SUB,2,6/12/2021,5,0
Glennallen,State SUB,2,6/12/2021,31,1
Glennallen,State SUB,2,6/12/2021,26,2
Glennallen,State SUB,2,6/12/2021,13,2
Glennallen,State SUB,2,6/12/2021,0,0
Glennallen,State SUB,2,6/12/2021,40,0
Glennallen,State SUB,2,6/12/2021,15,2
Glennallen,State SUB,2,6/12/2021,0,0
Glennallen,State SUB,2,6/12/2021,0,0
Glennallen,State SUB,2,6/12/2021,6,2
Glennallen,Federal SUB,2,6/12/2021,9,
Glennallen,Federal SUB,2,6/12/2021,8,
Glennallen,Federal SUB,2,6/12/2021,9,
Glennallen,Federal SUB,2,6/12/2021,7,
Glennallen,Federal SUB,2,6/12/2021,15,
Glennallen,Federal SUB,2,6/12/2021,11,
Glennallen,Federal SUB,2,6/12/2021,3,
Glennallen,Federal SUB,2,6/12/2021,3,
Glennallen,Federal SUB,2,6/12/2021,1,
Glennallen,Federal SUB,2,6/12/2021,3,
Glennallen,Federal SUB,2,6/12/2021,,3
Glennallen,Federal SUB,2,6/12/2021,,1
Glennallen,Federal SUB,2,6/12/2021,,1
Glennallen,State SUB,2,6/13/2021,40,0
Glennallen,State SUB,2,6/13/2021,1,1
Glennallen,State SUB,2,6/13/2021,50,1
Glennallen,State SUB,2,6/13/2021,20,0
Glennallen,State SUB,2,6/13/2021,7,1
Glennallen,State SUB,2,6/13/2021,4,0
Glennallen,State SUB,2,6/13/2021,52,4
Glennallen,State SUB,2,6/13/2021,13,0
Glennallen,State SUB,2,6/13/2021,39,0
Glennallen,State SUB,2,6/13/2021,17,0
Glennallen,State SUB,2,6/13/2021,22,1
Glennallen,State SUB,2,6/13/2021,1,0
Glennallen,State SUB,2,6/13/2021,97,2
Glennallen,State SUB,2,6/13/2021,20,0
Glennallen,State SUB,2,6/13/2021,28,2
